Model,Omics,Subtype,CIndex_mean,CIndex_low,CIndex_high,N,Events
LVMMed (ABMIL),Radiomics,Lymphocyte Depleted,0.623787301775388,0.5169576212292804,0.7201894269169637,63,27
LVMMed (ABMIL),Radiomics,Wound Healing,0.5857393775013693,0.47100646251935563,0.6964197191717276,129,23
LVMMed (ABMIL),Radiomics,Inflammatory,0.5735949811379641,0.47020129755085166,0.6671798568280745,112,26
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,0.6919948536028231,0.6196002924979593,0.7610197537758155,161,24
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,0.650906270076455,0.544748266028842,0.7541240699292238,63,27
LVMMed (SPARRA),Radiomics,Wound Healing,0.6403136863991186,0.5355945208401401,0.7376174331599898,129,23
LVMMed (SPARRA),Radiomics,Inflammatory,0.664480327622594,0.5575539728417472,0.7634825671040625,112,26
FMCIB+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.750249073846684,0.6636936854610253,0.8345022356970835,161,24
FMCIB+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.6866962687620046,0.6053199534476098,0.7604131531284822,63,27
FMCIB+CONCH (MEAN),Radiopathomics,Wound Healing,0.6675159076296018,0.5610362067720742,0.7661779856188363,129,23
FMCIB+CONCH (MEAN),Radiopathomics,Inflammatory,0.7661268761939066,0.6803562295728752,0.8461538461538461,112,26
CONCH (ABMIL),Pathomics,IFN-gamma Dominant,0.813447795807416,0.7151252116888265,0.8983242393435169,161,24
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,0.7527176996435027,0.6796729850467634,0.8175975756008933,63,27
CONCH (ABMIL),Pathomics,Wound Healing,0.7305469449064069,0.6554397446189114,0.8052021087331903,129,23
CONCH (ABMIL),Pathomics,Inflammatory,0.8090405095576034,0.7282096530883674,0.8827187837571622,112,26
CONCH (MEAN),Pathomics,IFN-gamma Dominant,0.7872607324341768,0.6860133056727948,0.8791211028327742,161,24
CONCH (MEAN),Pathomics,Lymphocyte Depleted,0.7089083590165663,0.6301697310728153,0.7811925245702973,63,27
CONCH (MEAN),Pathomics,Wound Healing,0.6764958691210029,0.565259526235136,0.7846149290405042,129,23
CONCH (MEAN),Pathomics,Inflammatory,0.7826296739204779,0.712468980315328,0.847097109261205,112,26
LVMMed+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.7809087498600888,0.6770490265931809,0.8678744744744744,161,24
LVMMed+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.7521889642294636,0.6854116489666955,0.818090625,63,27
LVMMed+CONCH (ABMIL),Radiopathomics,Wound Healing,0.6435563952645055,0.5439055053928276,0.7395339708848261,129,23
LVMMed+CONCH (ABMIL),Radiopathomics,Inflammatory,0.8019644243270012,0.729811951954695,0.8697149476038503,112,26
LVMMed+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.7897359741538019,0.701133107895695,0.8736446731037312,161,24
LVMMed+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.7281316646871235,0.6379773270245257,0.805054264965495,63,27
LVMMed+CONCH (SPARRA),Radiopathomics,Wound Healing,0.7312433867104345,0.6332245558615829,0.8185504060681171,129,23
LVMMed+CONCH (SPARRA),Radiopathomics,Inflammatory,0.7614422984491382,0.6750442598615444,0.8470358470581449,112,26
CONCH (SPARRA),Pathomics,IFN-gamma Dominant,0.7872969312527311,0.6936131159143609,0.8699527369852948,161,24
CONCH (SPARRA),Pathomics,Lymphocyte Depleted,0.7340168484530515,0.6471780281208904,0.8157371478443186,63,27
CONCH (SPARRA),Pathomics,Wound Healing,0.7188977577186897,0.6186200430319678,0.8080688481167949,129,23
CONCH (SPARRA),Pathomics,Inflammatory,0.802009687242317,0.7282446193374764,0.8693851375536117,112,26
LVMMed+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.7731521698293491,0.6870796119225246,0.8514101344925961,161,24
LVMMed+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.7376759984276717,0.6588612162090225,0.8090530736969574,63,27
LVMMed+CONCH (MEAN),Radiopathomics,Wound Healing,0.6953555298582765,0.5841775699732219,0.7949109915523936,129,23
LVMMed+CONCH (MEAN),Radiopathomics,Inflammatory,0.7737828255661091,0.6981608850098557,0.8476259139119454,112,26
FMCIB+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.7905382946119691,0.7102422287089671,0.865825166480619,161,24
FMCIB+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.7058810839241438,0.6175250144554054,0.7875104748603352,63,27
FMCIB+CHIEF (MEAN),Radiopathomics,Wound Healing,0.6142774834382722,0.503367408669457,0.7241465836980787,129,23
FMCIB+CHIEF (MEAN),Radiopathomics,Inflammatory,0.7516453987353087,0.6706395058327188,0.837133965999674,112,26
pyradiomics+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.7848237810386332,0.6986534382753209,0.8688894299287412,161,24
pyradiomics+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.7230894226656315,0.6409448843289592,0.7986371187134362,63,27
pyradiomics+CONCH (MEAN),Radiopathomics,Wound Healing,0.6772838667709324,0.5659217900743325,0.7782018196133322,129,23
pyradiomics+CONCH (MEAN),Radiopathomics,Inflammatory,0.7949392791929438,0.7204817570811329,0.8640296119078407,112,26
pyradiomics+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.8039356277552637,0.7258190990476289,0.8748091585906712,161,24
pyradiomics+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.7003115439673102,0.6082928331007307,0.7784230625931445,63,27
pyradiomics+CHIEF (MEAN),Radiopathomics,Wound Healing,0.6508474757416486,0.5357732167411737,0.7618255878492708,129,23
pyradiomics+CHIEF (MEAN),Radiopathomics,Inflammatory,0.7656181502949957,0.6907584680034233,0.8377073893486816,112,26
