name,train_volumes,source
left kidney cyst,1228,table10_train
left lacrimal gland,3419,table10_train+table7_test
left lateral circumflex artery,1,table10_train
left lateral circumflex vein,1,table10_train
left lateral cuneiform bone,78,table10_train
left lateral occipital,10,table10_train
left lateral orbitofrontal,10,table10_train
left lateral ventricle,3654,table10_train
left lcl ligament,78,table10_train
left lens,3505,table10_train+table7_test
left lenticulostriate arteries,1,table10_train
left lentiform nucleus,158,table10_train
left lingual gyrus,10,table10_train
left longissimus thoracis,97,table10_train
left lung,4404,table10_train+table7_test
left lung lower lobe,3454,table10_train
left lung upper lobe,3454,table10_train
left m1,1,table10_train
left m1 of middle cerebral artery,50,table10_train
left m2 of middle cerebral artery,50,table10_train
left m2-branches,1,table10_train
left m3 of middle cerebral artery,50,table10_train
left m3/m4,1,table10_train
left mandible,170,table10_train
left mandibular incisive canal,532,table10_train
left mastoid process,120,table10_train
left maxillary artery,25,table10_train
left maxillary sinus,532,table10_train
left mcl ligament,78,table10_train
left medial cuneiform bone,78,table10_train
left medial orbitofrontal,10,table10_train
left medial orbitofrontal artery,1,table10_train
left metacarpal,1597,table10_train
left metatarsal,1597,table10_train
left middle cerebral artery,250,table10_train
left middle ear,170,table10_train
left middle meningeal artery,26,table10_train
left middle temporal,10,table10_train
left navicular bone,78,table10_train
left nucleus accumbens,10,table10_train
left obturator artery,1,table10_train
left obturator externus,1,table10_train
left obturator externus muscle,78,table10_train
left obturator internus,1,table10_train
left obturator internus muscle,78,table10_train
left obturator veins,1,table10_train
left ophthalmic artery,50,table10_train
left opthalmic artery,1,table10_train
left optic nerve,3636,table10_train+table7_test
left p1,1,table10_train
left p1 and p2 of posterior cerebral artery,50,table10_train
left p2,1,table10_train
left p3,1,table10_train
left p3 and p4 of posterior cerebral artery,50,table10_train
left p4/p5,1,table10_train
left pallidum,3654,table10_train
left paracentral lobule,10,table10_train
left parahippocampal gyrus,10,table10_train
left paraopthalmic part of the internal carotid,1,table10_train
left parotid gland,3636,table10_train+table7_test
left pars opercularis,10,table10_train
left pars orbitalis,10,table10_train
left pars triangularis,10,table10_train
left patella,1597,table10_train
left patella bone,78,table10_train
left patella cartilage,78,table10_train
left pcl ligament,78,table10_train
left pectineus,1,table10_train
left pectineus muscle,78,table10_train
left pelvis acetabulum cartilage,78,table10_train
left pelvis bone,78,table10_train
left pericalcarine,10,table10_train
left pericallosal artery,1,table10_train
left peroneus longus muscle,78,table10_train
left phalanges bone,78,table10_train
left piriformis,1,table10_train
left piriformis muscle,78,table10_train
left plantaris muscle,78,table10_train
left polar frontal artery,1,table10_train
left popliteus muscle,78,table10_train
left portal vein,1,table10_train
left postcentral gyrus,10,table10_train
left posterior cingulate,10,table10_train
left posterior communicating artery,301,table10_train
left posterior communicating part of the internal carotid,1,table10_train
left posterior eyeball,84,table10_train
left posterior inferior cerebellar artery,50,table10_train
left posteromedial central arteries,1,table10_train
left precentral gyrus,10,table10_train
left precuneus,10,table10_train
left psoas,1,table10_train
left psoas major muscle,78,table10_train
left putamen,3654,table10_train
left quadratis femoris muscle,78,table10_train
left quadratus lumborum,1,table10_train
left radius,1597,table10_train
