Model,Omics,Subtype,F1,N
LVMMed+UNI (ABMIL),Radiopathomics,Inflammatory,0.8722355066687921,282
UNI (MEAN),Pathomics,IFN-gamma Dominant,0.9661116533926968,256
UNI (MEAN),Pathomics,Lymphocyte Depleted,0.9548489630360977,88
UNI (MEAN),Pathomics,Wound Healing,0.8637761235069735,198
UNI (MEAN),Pathomics,Inflammatory,0.8814814814814815,282
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,0.6157129895829951,256
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,0.5580982905982906,88
LVMMed (SPARRA),Radiomics,Wound Healing,0.582737436855084,198
LVMMed (SPARRA),Radiomics,Inflammatory,0.3543367983814827,282
LVMMed+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.9566194828408608,256
LVMMed+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.9663715967809535,88
LVMMed+UNI (MEAN),Radiopathomics,Wound Healing,0.8787270389562952,198
LVMMed+UNI (MEAN),Radiopathomics,Inflammatory,0.873015873015873,282
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,0.42108303083823956,256
LVMMed (ABMIL),Radiomics,Lymphocyte Depleted,0.26898202859354636,88
LVMMed (ABMIL),Radiomics,Wound Healing,0.4430090146127882,198
LVMMed (ABMIL),Radiomics,Inflammatory,0.2265873015873016,282
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.9562957760498835,256
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.9848053181386516,88
LVMMed+UNI (SPARRA),Radiopathomics,Wound Healing,0.8731109017772916,198
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.8814814814814815,282
UNI (ABMIL),Pathomics,IFN-gamma Dominant,0.9515043936292896,256
UNI (ABMIL),Pathomics,Lymphocyte Depleted,0.7913896802785692,88
UNI (ABMIL),Pathomics,Wound Healing,0.8118124739152665,198
UNI (ABMIL),Pathomics,Inflammatory,0.764522417153996,282
FMCIB+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.9532949206057151,256
FMCIB+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.9841269841269842,88
FMCIB+CONCH (MEAN),Radiopathomics,Wound Healing,0.8669646588758914,198
FMCIB+CONCH (MEAN),Radiopathomics,Inflammatory,0.7557810987352583,282
CONCH (SPARRA),Pathomics,IFN-gamma Dominant,0.9494223927519677,256
CONCH (SPARRA),Pathomics,Lymphocyte Depleted,0.9626310348028437,88
CONCH (SPARRA),Pathomics,Wound Healing,0.8634580121180919,198
CONCH (SPARRA),Pathomics,Inflammatory,0.8750807366675395,282
LVMMed+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.9351727194134041,256
LVMMed+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.9605107855107854,88
LVMMed+CONCH (ABMIL),Radiopathomics,Wound Healing,0.8757686052088328,198
LVMMed+CONCH (ABMIL),Radiopathomics,Inflammatory,0.8593473463756196,282
CONCH (MEAN),Pathomics,IFN-gamma Dominant,0.9607318650621666,256
CONCH (MEAN),Pathomics,Lymphocyte Depleted,0.9409971775984849,88
CONCH (MEAN),Pathomics,Wound Healing,0.8587897421471336,198
CONCH (MEAN),Pathomics,Inflammatory,0.859254835266617,282
LVMMed+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.9379765711515183,256
LVMMed+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.984110938564712,88
LVMMed+CONCH (MEAN),Radiopathomics,Wound Healing,0.8474063895590014,198
LVMMed+CONCH (MEAN),Radiopathomics,Inflammatory,0.8727845254161043,282
LVMMed+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.9725816354794559,256
LVMMed+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.97884712387755,88
LVMMed+CONCH (SPARRA),Radiopathomics,Wound Healing,0.9235233468926862,198
LVMMed+CONCH (SPARRA),Radiopathomics,Inflammatory,0.873015873015873,282
