"outcome_id","big_task","subtask","class_label","comparison","p_value","estimate","conf_low","conf_high","statistic","parameter","method","log2_p"
"phenotype | MolecularSubtype | Class 9","phenotype","MolecularSubtype","Class 9","pathomics vs radiopathomics",0.782346024595903,-0.0189296084032926,-0.196812603510262,0.158953386703676,-0.295458363308015,4,"Paired t-test",0.354121255187646
"phenotype | MolecularSubtype | Class 10","phenotype","MolecularSubtype","Class 10","radiomics vs pathomics",0.0715372413218955,-0.245892995892996,-0.52618217902449,0.034396187238498,-2.43572868999817,4,"Paired t-test",3.80516170476502
"phenotype | MolecularSubtype | Class 10","phenotype","MolecularSubtype","Class 10","radiomics vs radiopathomics",0.192999440007982,-0.292559662559663,-0.812117738238681,0.226998413119355,-1.56339758944276,4,"Paired t-test",2.37333143339856
"phenotype | MolecularSubtype | Class 10","phenotype","MolecularSubtype","Class 10","pathomics vs radiopathomics",0.659007782470743,-0.0466666666666667,-0.318955669181834,0.225622335848501,-0.475845285875423,4,"Paired t-test",0.601632592225127
"phenotype | MolecularSubtype | Class 11","phenotype","MolecularSubtype","Class 11","radiomics vs pathomics",0.00867654045400745,-0.380871409292462,-0.601383518638311,-0.160359299946613,-4.79551242413321,4,"Paired t-test",6.8486643646588
"phenotype | MolecularSubtype | Class 11","phenotype","MolecularSubtype","Class 11","radiomics vs radiopathomics",0.0104990966039926,-0.434204742625795,-0.699757986887383,-0.168651498364208,-4.53975109838807,4,"Paired t-test",6.57359099340815
"phenotype | MolecularSubtype | Class 11","phenotype","MolecularSubtype","Class 11","pathomics vs radiopathomics",0.275437524867354,-0.0533333333333333,-0.170645050260732,0.0639783835940658,-1.26225304816616,4,"Paired t-test",1.86020297313366
"phenotype | MolecularSubtype | Class 12","phenotype","MolecularSubtype","Class 12","radiomics vs pathomics",0.0909193750537927,-0.253044733044733,-0.569949668630341,0.0638602025408752,-2.21695761588523,4,"Paired t-test",3.4592684221378
"phenotype | MolecularSubtype | Class 12","phenotype","MolecularSubtype","Class 12","radiomics vs radiopathomics",0.121617840524376,-0.239177489177489,-0.578063606999342,0.0997086286443635,-1.9595466859738,4,"Paired t-test",3.03957321686143
"phenotype | MolecularSubtype | Class 12","phenotype","MolecularSubtype","Class 12","pathomics vs radiopathomics",0.847490905022505,0.0138672438672439,-0.173832201095385,0.201566688829872,0.205123895627178,4,"Paired t-test",0.238730209056476
"phenotype | MolecularSubtype | Class 13","phenotype","MolecularSubtype","Class 13","radiomics vs pathomics",0.0223250489634181,-0.455365223012282,-0.804461972055623,-0.106268473968941,-3.62162222356527,4,"Paired t-test",5.48519285029819
"phenotype | MolecularSubtype | Class 13","phenotype","MolecularSubtype","Class 13","radiomics vs radiopathomics",0.0238753483623519,-0.490875790875791,-0.875176517830107,-0.106575063921475,-3.54641454269016,4,"Paired t-test",5.38833440628201
